Model,OOS R2 (%),Mean Monthly R2 (%),Median Monthly R2 (%),Obs.,Months,Start,End
OLS+H,-3.5038,-3.5732,-1.0733,"110,028",287,200101,202411
OLS-3+H,-1.8292,-1.3761,0.1119,"110,028",287,200101,202411
PCR,0.4662,0.2804,1.1722,"110,028",287,200101,202411
ENet+H,0.2680,-0.0201,0.8493,"110,028",287,200101,202411
RF,-0.1354,0.0948,0.7114,"110,028",287,200101,202411
NN2,-3.7061,-3.8508,-1.3562,"110,028",287,200101,202411
NN4,-1.3531,-1.6920,-0.5513,"110,028",287,200101,202411
