,PCR,ENet+H,RF,NN2,NN4
zerotrade1m,0.00397166876282518,0.0,0.0010039869919200685,0.009547247,0.0061098053
investppeinv,0.0,0.0,0.00019781029214751216,0.012922809,0.007266584
cashprod,0.0,0.0,0.00021722540388225921,0.0094645275,0.01053947
lrreversal,0.0,0.0,0.0019331062898960275,0.009517264,0.008311428
returnskew,0.002482292976765738,0.0,0.00021225895808062273,0.009530021,0.00741896
chnncoa,0.00023168067783146886,0.0,0.0001166812899255806,0.0099429665,0.009173222
delequ,0.0006950420334944066,0.0,0.00012295903741771404,0.010819482,0.006469147
indmom,0.0,0.0,0.0006746081781675767,0.00926553,0.007823501
delnetfin,0.0,0.0,0.0001342939945072965,0.010681427,0.0067204353
betaliquidityps,0.0,0.0,0.0003466958243305334,0.008929372,0.007621543
accruals,0.0,0.0,0.0002552493414130761,0.011067396,0.005096763
hire,0.0010922089097769247,0.0,0.0,0.007214044,0.007947329
grltnoa,0.0,0.0,7.299731339366617e-05,0.007665831,0.008055507
totalaccruals,0.0,0.0,0.0002180353380742906,0.0067746895,0.007779929
dellti,0.003673793605613292,0.0,0.0008679211170412726,0.005743218,0.0043704426
herf,0.0,0.0,0.0006523874831085133,0.008231783,0.004569771
