model,r2_oos,r2_oos_percent,mean_monthly_r2,mean_monthly_r2_percent,median_monthly_r2,median_monthly_r2_percent,n_obs,n_months,avg_obs_per_month,start_month,end_month
OLS+H,-0.04722631392733945,-4.722631392733945,-0.05110148761913086,-5.110148761913086,-0.01924864863881226,-1.924864863881226,74752,192,389.3333333333333,200101,201612
OLS-3+H,-0.02359258431553135,-2.359258431553135,-0.020967728006277025,-2.0967728006277024,-0.0032484237363040736,-0.32484237363040736,74752,192,389.3333333333333,200101,201612
PCR,0.005535880158218487,0.5535880158218487,0.0055465868207053215,0.5546586820705321,0.012567760760144653,1.2567760760144653,74752,192,389.3333333333333,200101,201612
ENet+H,0.003721751642824067,0.3721751642824067,-0.0006353488446852532,-0.06353488446852532,0.009415199550154796,0.9415199550154796,74752,192,389.3333333333333,200101,201612
RF,0.0056738332148340564,0.5673833214834056,0.0010541593808025367,0.10541593808025367,0.007859207381440414,0.7859207381440414,74752,192,389.3333333333333,200101,201612
NN2,-0.045681691461749496,-4.56816914617495,-0.05252637661715448,-5.252637661715448,-0.02312510873248408,-2.312510873248408,74752,192,389.3333333333333,200101,201612
NN4,-0.015846726165419156,-1.5846726165419156,-0.024296790189387723,-2.4296790189387725,-0.0109973404450453,-1.09973404450453,74752,192,389.3333333333333,200101,201612
