model,r2_oos,r2_oos_percent,mean_monthly_r2,mean_monthly_r2_percent,n_obs,start_month,end_month
ENet+H,0.0026803437234483862,0.2680343723448386,-0.00020144905061689886,-0.020144905061689887,110028,200101,202411
OLS+H,-0.03503751583435588,-3.503751583435588,-0.03573173115926748,-3.573173115926748,110028,200101,202411
OLS-3+H,-0.01829230856935471,-1.829230856935471,-0.013760564968965298,-1.3760564968965299,110028,200101,202411
PCR,0.004661604930017327,0.4661604930017327,0.0028037519800879623,0.28037519800879623,110028,200101,202411
