,PCR,ENet+H,RF,NN2,NN4
realizedvol,0.0,0.0,0.006376715570509511,0.013902021,0.017534956
maxret,0.006793889826474534,0.0,0.004077910297332468,0.017452115,0.009121677
bmdec,0.003721493790298152,0.0,0.001300937309500752,0.013776958,0.016983492
illiquidity,0.0,0.0,0.0026001343316915883,0.016877143,0.015542347
volsd,0.00012981955082435416,0.008887454489177425,0.0015294213024966354,0.012294991,0.011994268
beta,0.0,0.0,0.005576723894175078,0.009276914,0.019518053
pricedelaytstat,0.015664892466138735,0.0,4.62448571603835e-05,0.009475431,0.0091384165
sharerepurchase,0.007442987580596304,0.0,0.012814312145577341,0.0056177992,0.008419176
residualmomentum,0.01622744385304427,0.0,0.0009857117586207483,0.0049382383,0.010941751
bidaskspread,0.0,0.0,0.012504245390623532,0.009304671,0.011163364
leverage,0.0,0.0,0.004360157303688446,0.008963149,0.019536125
opleverage,0.008308451252758666,0.0,0.00025438098194769537,0.009049268,0.014237783
equityduration,0.0,0.0,0.0009773621210757196,0.018255366,0.01260527
returnskew3f,0.0,0.014517791303114959,0.0,0.009334433,0.0063036815
ebm,0.0,0.0,0.0,0.012552188,0.017033331
delcoa,0.0,0.0,4.616657717269929e-05,0.014817565,0.012796637
mom6m,0.004803323380501104,0.0,0.0028876125924528874,0.009108897,0.010385724
bookleverage,0.0,0.0,0.0005729498033061,0.0115151685,0.014354201
betafp,0.0,0.0,0.0032470440175202883,0.009084096,0.013849153
returnskew,0.0,0.0,0.0013163193100110661,0.00795241,0.015998317
delfinl,0.0021636591804059025,0.0,0.0,0.013706987,0.008987188
zerotrade6m,0.00021636591804059024,0.0,0.003143394198241035,0.011982492,0.009471882
size_crsp,0.0,0.0,0.004685385737164375,0.01584234,0.0042119655
delnetfin,0.003634947423081916,0.0,0.00041265158958413693,0.011538176,0.008624048
cheq,0.0,0.0,1.6925116544908616e-05,0.015467153,0.008543583
investppeinv,0.0,0.0,3.7980164434765474e-06,0.014411349,0.0093936995
zerotrade1m,0.0,0.0,0.0022852953431243364,0.010549284,0.010397898
idiovol3f,0.0,0.0,0.010586612683765633,0.0074576465,0.0048868847
bm,0.00865463672162361,0.0,0.0008842601176569339,0.0078085614,0.004594889
rds,0.012895408715219178,0.0,4.198189980914217e-05,0.006154144,0.0017027055
tax,0.006793889826474534,0.0,0.0005915194482570469,0.005745606,0.0076554217
accruals,0.0,0.0,0.00018845814646629012,0.011188317,0.009365546
roe,0.00398113289194686,0.0,0.0009068642321769135,0.010443112,0.0050812946
grltnoa,0.0,0.0,0.00023444990489630678,0.011091011,0.00808476
numearnincrease,0.0,0.0,0.008570626326916925,0.005870563,0.004922837
betaliquidityps,0.0,0.0,0.00030194048900204464,0.009183302,0.009856517
volumetrend,0.0,0.0,0.0001499920815872792,0.010640257,0.008157996
chnncoa,0.0,0.0,0.0,0.0099924635,0.0088825645
chnwc,0.0,0.0,0.0006560496222119806,0.010792232,0.007258802
cashprod,0.0,0.0,0.002050640412071721,0.009332428,0.0071309707
lrreversal,0.0,0.0,0.004005746363666288,0.0056290915,0.008596846
assetgrowth,0.0,0.00204840523673207,0.0003978895586782725,0.009903072,0.0052747536
indmom,0.0,0.0,0.0005163416236056186,0.011530577,0.0052388012
delcol,0.0,0.0,0.00012913198160364753,0.009800067,0.0070522176
pricedelayrsq,0.0,0.0,9.985454080870573e-05,0.0067949723,0.009906926
herf,0.0010818295902029513,0.0,0.001482095412059909,0.00734947,0.006232157
delequ,0.0,0.0,8.183826686705754e-05,0.010656404,0.005027461
netequityfinance,0.0,0.0,0.0012031393264567516,0.00968197,0.0045262175
chinv,0.0,0.0,0.0015837688599574112,0.0051349616,0.008388549
dellti,0.0029858496689601456,0.0,0.0021377983307259954,0.005582866,0.0040856563
totalaccruals,0.0,0.0,0.0005177914151816111,0.009437543,0.0043654772
pctacc,0.0,0.0,0.00011099656477782179,0.0051390775,0.0079436125
hire,0.0,0.0,0.000273850485949325,0.006378941,0.005941493
coskewacx,0.0,0.0,0.00020893619862076036,0.0050857808,0.0058948877
