,PCR,ENet+H,RF,NN2,NN4
streversal,0.06529923406465013,0.23341062439793692,0.003326794650307741,0.012963997,0.021773743
divomit,0.002769483750919555,0.0,0.27789136087181365,0.008382584,0.001920323
divinit,0.007140075295339478,0.0,0.17509764135596542,0.0027090604,0.0228021
mrreversal,0.11259682374832317,0.06801729351111506,0.0019189420769027319,0.0112079475,0.009933748
cf,0.03293089272577784,0.11287567851312218,0.002916438903100407,0.018037114,0.017759232
momseason,0.1047643775152538,0.05119535803623955,2.683365859011142e-05,0.013578863,0.005923041
momseasonshort,0.050196892985416935,0.05017261810982473,0.0005418238535266293,0.019820604,0.012542686
coskewness,0.028473754814141678,0.08695357268534157,0.00044376444511458774,0.0066756085,0.008275555
mom12moffseason,0.04734086286728115,0.02777181232643303,0.011436699959444985,0.017057508,0.026393741
mom12m,0.06014972521528409,0.023183150713306542,0.009575353987182844,0.01748652,0.014585705
announcementreturn,0.029425764853520272,0.06938118296666508,0.002937936768349135,0.010670652,0.0115620755
gp,0.03370981003072396,0.06878894341133952,0.0001914566809682612,0.0071708993,0.009796215
sp,0.004716777013284867,0.0499845298284042,0.013654056287159428,0.02283942,0.008771663
indipo,0.02150677225323467,0.0,0.04334468056879613,0.008229342,0.0226425
spinoff,0.0,0.0,0.08217685173501556,0.0048242575,0.008112152
rdipo,0.005712060236271583,0.0,0.08358891631093315,0.00014648704,0.0028938954
betavix,0.063049028517028,0.0,8.786209090811851e-05,0.009339182,0.011318588
momoffseason,0.01622744385304427,0.03234086125934674,0.004454452382564727,0.01126726,0.013173283
credratdg,0.010948115452853867,0.0,0.038374118793415644,0.011407414,0.011752111
volmkt,0.01666017568912545,0.0,0.020795628767800188,0.01551074,0.01801185
shareiss1y,0.020511489030247954,0.026590549831683064,0.0011330123847960595,0.0074321064,0.00841499
chtax,0.02107404041715349,0.018317881731048417,0.00010674860006763946,0.010993177,0.007328805
convdebt,0.022328962741788912,0.0,0.020707615685739714,0.008769592,0.0054805772
price,0.0,0.029845630919199437,0.013243540571838063,0.012070617,0.0020844874
xfin,0.024103163269721752,0.009481611721329206,3.854811552093668e-05,0.0129782455,0.009920242
intmom,0.028473754814141678,0.007985516118774995,0.001507654284120689,0.0062859617,0.00937772
exchswitch,0.007313168029771951,0.0,0.03129757500578567,0.005946656,0.008453987
zerotrade12m,0.005625513869055346,0.0,0.0052159030830146004,0.017293176,0.023139369
high52,0.007702626682245013,0.0,0.020887030409063676,0.012976451,0.008401294
am,0.0,0.0,0.004228818246769735,0.014070038,0.02708445
firmage,0.0,0.0,0.0008818422204617517,0.010506646,0.032732613
bpebm,0.006837163010082652,0.0,0.002195215353505416,0.011031593,0.02133185
size,0.0,0.0,0.0008356914944993026,0.023985775,0.014618995
noa,0.020900947682721018,0.0,0.0,0.00932409,0.009196816
idiovolaht,0.0,0.0,0.014185805515498268,0.017975586,0.006951208
dolvol,0.0,0.0,0.00020558177030537562,0.019266633,0.019361308
pricedelayslope,0.016011077935003677,0.0,0.00031706630187781486,0.012941413,0.009231627
dnoa,0.0,0.008249532889865296,0.00029636294953323225,0.015975742,0.013801216
