model,r2_oos,r2_oos_percent,mean_monthly_r2,mean_monthly_r2_percent,median_monthly_r2,median_monthly_r2_percent,n_obs,n_months,avg_obs_per_month,start_month,end_month
OLS+H,-0.03503751583435588,-3.503751583435588,-0.03573173115926748,-3.573173115926748,-0.010732511036984915,-1.0732511036984915,110028,287,383.37282229965155,200101,202411
OLS-3+H,-0.01829230856935471,-1.829230856935471,-0.013760564968965298,-1.3760564968965299,0.0011186653531765067,0.11186653531765067,110028,287,383.37282229965155,200101,202411
PCR,0.004661604930017327,0.4661604930017327,0.0028037519800879623,0.28037519800879623,0.011722128185955194,1.1722128185955194,110028,287,383.37282229965155,200101,202411
ENet+H,0.0026803437234483862,0.2680343723448386,-0.00020144905061689886,-0.020144905061689887,0.008492644700432206,0.8492644700432206,110028,287,383.37282229965155,200101,202411
RF,-0.0013536352678551467,-0.13536352678551467,0.0009478803736106024,0.09478803736106024,0.0071144139159714515,0.7114413915971451,110028,287,383.37282229965155,200101,202411
NN2,-0.0370613855060713,-3.70613855060713,-0.038508439633651616,-3.8508439633651617,-0.013561854450662603,-1.3561854450662603,110028,287,383.37282229965155,200101,202411
NN4,-0.013531211984415537,-1.3531211984415537,-0.016920081274699336,-1.6920081274699337,-0.005513184909552216,-0.5513184909552216,110028,287,383.37282229965155,200101,202411
