model,r2_oos,r2_oos_percent,mean_monthly_r2,mean_monthly_r2_percent,n_obs,start_month,end_month
NN2,-0.0370613855060713,-3.70613855060713,-0.038508439633651616,-3.8508439633651617,110028,200101,202411
NN4,-0.013531211984415537,-1.3531211984415537,-0.016920081274699336,-1.6920081274699337,110028,200101,202411
RF,-0.0013536352678551467,-0.13536352678551467,0.0009478803736106024,0.09478803736106024,110028,200101,202411
